OBJECTID;ZEFINAL;FIRST_SEDE;FIRST_NOME;SHAPE_LENG;SHAPE_AREA;ZHAPE_AREA;ANO_ELEICA;CD_TIPO_EL;NM_TIPO_EL;NR_TURNO;CD_ELEICAO;DS_ELEICAO;DT_ELEICAO;TP_ABRANGE;SG_UF;SG_UE;NM_UE;CD_MUNICIP;NM_MUNICIP;NR_ZONA;CD_CARGO;DS_CARGO;TP_AGREMIA;NR_PARTIDO;SG_PARTIDO;NM_PARTIDO;SQ_COLIGAC;NM_COLIGAC;DS_COMPOSI;ST_VOTO_EM;QT_VOTOS_N;QT_VOTOS_L;TOTAL_DOMI;TOTAL_REND;RENDA_MEDI;MORADORES_;MEDIA_MORA;RENDA_PER_;POP_MASCUL;POP_FEMINI;POP_BRANCA;POP_PRETA;POP_AMAREL;POP_PARDA;POP_INDIGE;POP_CRIANC;POP_ADOLES;POP_ADULTO;POP_IDOSA;Rank_TOT_REND;Rank_MORADORES;Rank_POP_PARDA;Rank_POP_PRETA;Rank_POP_BRANCA;Rank_POP_AMAREL;Rank_TOTAL_DOMI;Rank_POP_MASCUL;Rank_POP_FEMINI;Rank_POP_ADOLES;Rank_POP_ADULTO;Rank_POP_IDOSA
320;349;SÃO PAULO;SÃO PAULO - JAÇANÃ;0.18018640774;0.00099963385;289;2018;2;Eleição Ordinária;1;297;Eleições Gerais Estaduais 2018;07/10/18;E;SP;SP;SÃO PAULO;71072;SÃO PAULO;349;6;Deputado Federal;Coligação;13;PT;Partido dos Trabalhadores;2,50E+11;SÃO PAULO DO TRABALHO  E DE OPORTUNIDADES;PT / PC do B;N;5704;1848;47144;127647510;2707.61;155965;3;818.44;57575;67309;82945;9590;2250;29968;131;25317;50427;27955;21185;4;2;3;4;3;4;2;2;3;2;3;4
321;350;SÃO PAULO;SÃO PAULO - SAPOPEMBA;0.13914445917;0.000794399;539;2018;2;Eleição Ordinária;1;297;Eleições Gerais Estaduais 2018;07/10/18;E;SP;SP;SÃO PAULO;71072;SÃO PAULO;350;6;Deputado Federal;Coligação;13;PT;Partido dos Trabalhadores;2,50E+11;SÃO PAULO DO TRABALHO  E DE OPORTUNIDADES;PT / PC do B;N;9631;2186;52717;117446284;2227.86;172165;3;682.17;64387;72462;88906;7894;1522;38451;76;28453;55531;31564;21301;3;4;4;3;4;2;3;3;3;3;4;4
322;351;SÃO PAULO;SÃO PAULO - CIDADE ADEMAR;0.15532897915;0.00070357573;83;2018;2;Eleição Ordinária;1;297;Eleições Gerais Estaduais 2018;07/10/18;E;SP;SP;SÃO PAULO;71072;SÃO PAULO;351;6;Deputado Federal;Coligação;13;PT;Partido dos Trabalhadores;2,50E+11;SÃO PAULO DO TRABALHO  E DE OPORTUNIDADES;PT / PC do B;N;9286;2291;50192;122716110;2444.93;163916;3;748.65;59414;68533;67021;11617;2194;46989;126;28301;56506;26528;16612;3;3;6;6;1;4;3;3;3;3;2;1
323;352;SÃO PAULO;SÃO PAULO - ITAIM PAULISTA;0.17741398209;0.00131450958;282;2018;2;Eleição Ordinária;1;297;Eleições Gerais Estaduais 2018;07/10/18;E;SP;SP;SÃO PAULO;71072;SÃO PAULO;352;6;Deputado Federal;Coligação;13;PT;Partido dos Trabalhadores;2,50E+11;SÃO PAULO DO TRABALHO  E DE OPORTUNIDADES;PT / PC do B;N;21570;4035;75907;112760103;1485.5;264898;3;425.67;92961;103962;84845;19205;1223;91425;225;49581;86927;40597;19818;2;8;9;9;4;1;7;8;8;8;7;4
324;353;SÃO PAULO;SÃO PAULO - GUAIANASES;0.21869582326;0.00135545281;655;2018;2;Eleição Ordinária;1;297;Eleições Gerais Estaduais 2018;07/10/18;E;SP;SP;SÃO PAULO;71072;SÃO PAULO;353;6;Deputado Federal;Coligação;13;PT;Partido dos Trabalhadores;2,50E+11;SÃO PAULO DO TRABALHO  E DE OPORTUNIDADES;PT / PC do B;N;19110;3863;67129;104163462;1551.69;234167;3;444.83;82546;90529;76727;17341;819;77977;211;44760;76768;34403;17144;1;7;8;8;3;0;6;7;6;7;5;2
338;371;SÃO PAULO;SÃO PAULO - GRAJAÚ;0.36784844752;0.00339856857;199;2018;2;Eleição Ordinária;1;297;Eleições Gerais Estaduais 2018;07/10/18;E;SP;SP;SÃO PAULO;71072;SÃO PAULO;371;6;Deputado Federal;Coligação;13;PT;Partido dos Trabalhadores;2,50E+11;SÃO PAULO DO TRABALHO  E DE OPORTUNIDADES;PT / PC do B;N;25567;5036;68404;111941950;1636.48;237274;3;471.78;83519;92598;75763;16764;1257;82143;190;43909;80929;35624;15655;2;8;8;8;2;2;6;7;6;8;5;1
339;372;SÃO PAULO;SÃO PAULO - PIRAPORINHA;0.32954825285;0.00446907814;77;2018;2;Eleição Ordinária;1;297;Eleições Gerais Estaduais 2018;07/10/18;E;SP;SP;SÃO PAULO;71072;SÃO PAULO;372;6;Deputado Federal;Coligação;13;PT;Partido dos Trabalhadores;2,50E+11;SÃO PAULO DO TRABALHO  E DE OPORTUNIDADES;PT / PC do B;N;31232;6369;101220;165078194;1630.89;339696;3;485.96;119130;132194;104029;23526;1854;121643;272;61780;118892;48243;22409;5;9;9;9;6;3;9;9;9;9;9;5
340;373;SÃO PAULO;SÃO PAULO - CAPÃO REDONDO;0.16720475054;0.00066872968;286;2018;2;Eleição Ordinária;1;297;Eleições Gerais Estaduais 2018;07/10/18;E;SP;SP;SÃO PAULO;71072;SÃO PAULO;373;6;Deputado Federal;Coligação;13;PT;Partido dos Trabalhadores;2,50E+11;SÃO PAULO DO TRABALHO  E DE OPORTUNIDADES;PT / PC do B;N;12166;2661;46331;84163986;1816.58;152243;3;552.83;54046;61710;52734;10693;980;51205;144;27090;53145;22931;12590;1;2;6;5;0;1;2;2;2;2;1;0
341;374;SÃO PAULO;SÃO PAULO - RIO PEQUENO;0.33702995745;0.00344990463;653;2018;2;Eleição Ordinária;1;297;Eleições Gerais Estaduais 2018;07/10/18;E;SP;SP;SÃO PAULO;71072;SÃO PAULO;374;6;Deputado Federal;Coligação;13;PT;Partido dos Trabalhadores;2,50E+11;SÃO PAULO DO TRABALHO  E DE OPORTUNIDADES;PT / PC do B;N;15714;3870;98725;388696991;3937.17;309980;3;1253.94;116300;133518;154803;17853;10111;66632;419;50300;110151;52968;36399;8;9;7;8;9;9;9;9;9;9;9;9
342;375;SÃO PAULO;SÃO PAULO - SÃO MATEUS;0.24110574438;0.00229749715;275;2018;2;Eleição Ordinária;1;297;Eleições Gerais Estaduais 2018;07/10/18;E;SP;SP;SÃO PAULO;71072;SÃO PAULO;375;6;Deputado Federal;Coligação;13;PT;Partido dos Trabalhadores;2,50E+11;SÃO PAULO DO TRABALHO  E DE OPORTUNIDADES;PT / PC do B;N;29790;5566;90737;157013274;1730.42;313780;3;500.39;113411;123318;127237;17222;2743;89242;285;56455;103838;49659;26777;5;9;9;8;8;5;9;9;9;9;9;7
343;376;SÃO PAULO;SÃO PAULO - BRASILÂNDIA;0.24241613429;0.0022686321;773;2018;2;Eleição Ordinária;1;297;Eleições Gerais Estaduais 2018;07/10/18;E;SP;SP;SÃO PAULO;71072;SÃO PAULO;376;6;Deputado Federal;Coligação;13;PT;Partido dos Trabalhadores;2,50E+11;SÃO PAULO DO TRABALHO  E DE OPORTUNIDADES;PT / PC do B;N;21398;5217;89646;169703422;1893.04;305710;3;555.11;107994;122891;117793;25287;1894;85683;228;54536;100491;47884;27974;5;9;9;9;8;3;9;9;9;9;9;7
